Word,Pronunciation,Definition,HSK Level
倡导,chàng dǎo,to advocate; to initiate; to propose; to be a proponent of (an idea or school of thought),6
唱歌,chàng gē,to sing a song,2
畅通,chàng tōng,unimpeded; free-flowing; straight path; unclogged; move without obstruction,6
畅销,chàng xiāo,best seller; chart-topping,6
倡议,chàng yì,to suggest; to initiate; proposal; initiative,6
抄,chāo,to copy; to plagiarize; to search and seize; to go; to transcribe; to take a shortcut; to search and confiscate,5
超过,chāo guò,to surpass; to exceed; to outstrip,4
超级,chāo jí,transcending; high grade; super-; ultra-,6
钞票,chāo piào,"paper money; a bill (e.g. 100 yuan); CL:張|张[zhang1],扎[za1]",6
超市,chāo shì,supermarket (abbr.); CL:家[jia1],3
超越,chāo yuè,to surpass; to exceed; to transcend,6
朝,cháo,imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards,5
朝代,cháo dài,dynasty; reign (of a king),5
潮流,cháo liú,tide; current; trend,6
潮湿,cháo shī,damp; moist,6
嘲笑,cháo xiào,jeer; mockery; scoff; sneer; make fun of; laugh at (derogatory),6
吵,chǎo,to quarrel; to make a noise; noisy; to disturb by making a noise,4
