Word,Pronunciation,Definition,HSK Level
炒,chǎo,saute; pan-fry; to fry; fried,5
吵架,chǎo jià,to quarrel; to have a row; CL:頓|顿[dun4],5
车库,chē kù,garage,5
车厢,chē xiāng,carriage; CL:節|节[jie2],5
彻底,chè dǐ,thorough; thoroughly; complete,5
撤退,chè tuì,retreat,6
撤销,chè xiāo,to repeal; to revoke; to undo (computing),6
沉淀,chén diàn,to settle; to precipitate (solid sediment out of a solution),6
陈旧,chén jiù,old-fashioned,6
陈列,chén liè,to display; to exhibit,6
沉闷,chén mèn,oppressive (of weather); heavy; depressed; not happy,6
沉默,chén mò,silence; uncommunicative,5
陈述,chén shù,an assertion; to declare; to state,6
沉思,chén sī,contemplate; contemplation; meditation; ponder,6
沉重,chén zhòng,heavy; hard; serious; critical,6
沉着,chén zhuó,steady; calm and collected; not nervous,6
趁,chèn,to avail oneself of; to take advantage of,5
衬衫,chèn shān,shirt; blouse; CL:件[jian4],3
称心如意,chèn xīn rú yì,after one's heart (idiom); gratifying and satisfactory; everything one could wish,6
称,chēng,to weigh; to state; to name; name; appellation; to praise,5
称号,chēng hào,name; term of address; title,6
称呼,chēng hu,to call; to address as; appellation,5
称赞,chēng zàn,to praise; to acclaim; to commend; to compliment,5
乘,chéng,to ride; to mount; to make use of; to avail oneself of; to take advantage of; to multiply (mathematics); Buddhist sect or creed,5
橙,chéng,orange tree; orange (color),6
盛,chéng,to hold; contain; to ladle; pick up with a utensil,6
承办,chéng bàn,to undertake; to accept a contract,6
承包,chéng bāo,to contract; to undertake (a job),6
城堡,chéng bǎo,castle; rook (chess piece),6
成本,chéng běn,"(manufacturing, production etc) costs",6
承担,chéng dān,to undertake; to assume (responsibility etc),5
程度,chéng dù,degree (level or extent); level; CL:個|个[ge4],5
惩罚,chéng fá,penalty; punishment; to punish,6
成分,chéng fèn,composition; make-up; ingredient; element; component; one's social status; CL:個|个[ge4],5
成功,chéng gōng,"success; to succeed; CL:次[ci4],個|个[ge4]",4
成果,chéng guǒ,result; achievement; gain; profit; CL:個|个[ge4],5
成绩,chéng jì,"achievement; performance records; grades; CL:項|项[xiang4],個|个[ge4]",3
成交,chéng jiāo,to complete a contract; to reach a deal,6
成就,chéng jiù,accomplishment; success; attain a result; achievement; CL:個|个[ge4],5
诚恳,chéng kěn,sincere; honest; cordial,5
成立,chéng lì,to establish; to set up; to be tenable; to hold water,5
承诺,chéng nuò,to promise; to undertake to do something; commitment,6
澄清,chéng qīng,clear (of liquid); limpid; to clarify; to make sth clear; to be clear (about the facts),6
承认,chéng rèn,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge",5
诚实,chéng shí,honest; honesty; honorable; truthful,4
城市,chéng shì,city; town; CL:座[zuo4],3
承受,chéng shòu,to bear; to support; to inherit,5
成熟,chéng shú,mature; ripe; Taiwan pr. cheng2 shou2,4
成天,chéng tiān,(coll.) all day long; all the time,6
成为,chéng wéi,to become; to turn into,4
乘务员,chéng wù yuán,"attendant on an airplane, train, boat etc",6
呈现,chéng xiàn,to appear; to emerge; present (a certain appearance); demonstrate,6
成效,chéng xiào,effect; result,6
成心,chéng xīn,intentional; deliberate; on purpose,6
程序,chéng xù,procedures; sequence; order; computer program,5
成语,chéng yǔ,"Chinese set expression, often made up of 4 characters or two couplets of 4 characters each, often alluding to a story or historical quotation; idiom; proverb; saying; adage; set expression; CL:條|条[tiao2],本[ben3],句[ju4]",5
成员,chéng yuán,member,6
成长,chéng zhǎng,to mature; to grow; growth,5
诚挚,chéng zhì,sincere; cordial,6
乘坐,chéng zuò,to ride (in a vehicle),4
秤,chèng,steelyard; Roman balance; CL:臺|台[tai2],6
吃,chī,to eat; to have one's meal; to eradicate; to destroy; to absorb; to suffer; to exhaust,1
吃惊,chī jīng,to be startled; to be shocked; to be amazed,4
吃苦,chī kǔ,to bear; hardships,6
吃亏,chī kuī,to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately,5
吃力,chī lì,entail strenuous effort; be a strain,6
迟到,chí dào,to arrive late,3
迟缓,chí huǎn,slow; sluggish,6
持久,chí jiǔ,lasting; enduring; persistent; permanent; protracted; endurance; persistence; to last long,6
池塘,chí táng,pool; pond,6
持续,chí xù,to continue; to persist; sustainable; preservation,5
迟疑,chí yí,to hesitate,6
池子,chí zi,pond; CL:個|个[ge4],5
尺子,chǐ zi,rule; ruler (measuring instrument); CL:把[ba3],5
翅膀,chì bǎng,"wing; CL:個|个[ge4],對|对[dui4]",5
赤道,chì dào,equator (of the earth or astronomical body),6
赤字,chì zì,(financial) deficit; red letter,6
冲,chōng,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with,5
充当,chōng dāng,to serve as; to act as; to play the role of,6
充电器,chōng diàn qì,battery charger,5
冲动,chōng dòng,impetus; impulse; emotional impulse; impulsive,6
充分,chōng fèn,full; abundant,5
冲击,chōng jī,an attack; under attack; a shock,6
充满,chōng mǎn,full of; brimming with; very full; permeated,5
充沛,chōng pèi,abundant; plentiful; vigorous,6
充实,chōng shí,rich; substantial; enrich; substantiate,6
冲突,chōng tū,conflict; to conflict; clash of opposing forces; collision (of interests); contention,6
充足,chōng zú,adequate; sufficient; abundant,6
崇拜,chóng bài,to worship; adoration,6
重叠,chóng dié,"to overlap; to superimpose; to telescope; to run together; to duplicate; one over another; superposition; an overlap; redundancy; reduplication (in Chinese grammar, e.g. 散散步[san4 san4 bu4] to have a stroll)",6
重复,chóng fù,to repeat; to duplicate; CL:個|个[ge4],5
崇高,chóng gāo,majestic; sublime,6
崇敬,chóng jìng,to revere; high esteem,6
重新,chóng xīn,again; once more; re-,4
重阳节,Chóng yáng jié,Double Ninth or Yang Festival; 9th day of 9th lunar month,6
宠物,chǒng wù,house pet,5
抽空,chōu kòng,to find the time to do sth,6
抽屉,chōu ti,drawer,5
抽象,chōu xiàng,abstract,5
抽烟,chōu yān,"to smoke (a cigarette, tobacco)",4
筹备,chóu bèi,preparations; to get ready for sth,6
踌躇,chóu chú,to hesitate,6
稠密,chóu mì,dense,6
丑,chǒu,"clown; surname Chou; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox",5
丑恶,chǒu è,ugly; repulsive,6
臭,chòu,stench; stink; smelly; to smell (bad),5
出,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc",2
出版,chū bǎn,to publish; to come off the press; to put out,5
初步,chū bù,initial; preliminary; tentative,6
出差,chū chāi,to go on an official or business trip,4
出发,chū fā,to start out; to set off,4
初级,chū jí,junior; primary,5
出口,chū kǒu,an exit; CL:個|个[ge4]; to speak; to export; (of a ship) to leave port,5
出路,chū lù,a way out (of a difficulty etc),6
出卖,chū mài,to offer for sale; to sell; to sell out or betray,6
出色,chū sè,remarkable; outstanding,5
出身,chū shēn,family background; class origin,6
出神,chū shén,entranced; Trance (music genre),6
出生,chū shēng,to be born,4
出席,chū xí,to attend; to participate; present,5
出息,chū xi,promise; prospects; future,6
出现,chū xiàn,to appear; to arise; to emerge; to show up,3
出洋相,chū yáng xiàng,to make a fool of oneself,6
出租车,chū zū chē,taxi,1
除,chú,to get rid of; to remove; to exclude; to eliminate; to wipe out; to divide; except; not including,5
厨房,chú fáng,kitchen; CL:間|间[jian1],3
除非,chú fēi,"only if (..., or otherwise, ...); only when; only in the case that; unless",5
除了,chú le,besides; apart from (... also...); in addition to; except (for),3
除夕,chú xī,(New Year's) Eve,5
储备,chǔ bèi,reserves; to store up,6
储存,chǔ cún,stockpile; to store; to stockpile; storage,6
处分,chǔ fèn,to discipline sb; to punish; disciplinary action; to deal with (a matter); CL:個|个[ge4],6
处境,chǔ jìng,plight; unfavorable situation,6
处理,chǔ lǐ,to handle; to treat; to deal with; to process; CL:個|个[ge4],5
储蓄,chǔ xù,to deposit money; to save; savings,6
处置,chǔ zhì,to handle; to take care of; to punish,6
触犯,chù fàn,offend,6
穿,chuān,to bore through; pierce; perforate; penetrate; pass through; to dress; to wear; to put on; to thread,2
川流不息,chuān liú bù xī,the stream flows without stopping (idiom); unending flow,6
穿越,chuān yuè,to pass through; to cross; to overcome,6
船,chuán,"a boat; vessel; ship; CL:條|条[tiao2],艘[sou1],隻|只[zhi1]",2
传播,chuán bō,to disseminate; to propagate; to spread,5
船舶,chuán bó,shipping; boats,6
传达,chuán dá,to pass on; to convey; to relay; to transmit; transmission,6
传单,chuán dān,leaflet; flier; pamphlet,6
传递,chuán dì,to transmit; to pass on to sb else,5
传染,chuán rǎn,to infect; contagious,5
传授,chuán shòu,to impart; to pass on; to teach,6
传说,chuán shuō,legend; folklore; tradition; it is said; they say that...,5
传统,chuán tǒng,tradition; traditional; convention; conventional; CL:個|个[ge4],5
传真,chuán zhēn,fax; facsimile,4
喘气,chuǎn qì,to breathe deeply; to pant,6
串,chuàn,to string together; to mix up; to conspire; to rove; bunch or cluster; string (computing); classifier for rows or strings,6
窗户,chuāng hu,"window; CL:個|个[ge4],扇[shan4]",4
窗帘,chuāng lián,window curtains,5
床单,chuáng dān,"sheet; CL:條|条[tiao2],件[jian4],張|张[zhang1],床[chuang2]",6
闯,chuǎng,to rush; to charge; to dash; to break through; to temper oneself (through battling hardships),5
创立,chuàng lì,to found; establish; originate,6
创新,chuàng xīn,innovation; to bring forth new ideas; to blaze new trails,6
创业,chuàng yè,to begin an undertaking; to start a major task; to initiate; to venture; venture,6
创造,chuàng zào,to create; to bring about; to produce; CL:個|个[ge4],5
创作,chuàng zuò,to create; to produce; to write; creative work; creation; CL:個|个[ge4],6
吹,chuī,to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through,5
吹牛,chuī niú,to brag; to chat (dialect),6
吹捧,chuī pěng,to flatter; to laud sb's accomplishments; adulation,6
锤,chuí,hammer; to hammer into shape; weight (e.g. of a steelyard or balance),6
垂直,chuí zhí,perpendicular; vertical,6
春,chūn,spring (time); gay; joyful; youthful; love; lust; life,3
纯粹,chún cuì,purely,6
纯洁,chún jié,pure; clean and honest; to purify,6
磁带,cí dài,"magnetic tape; CL:盤|盘[pan2],盒[he2]",5
词典,cí diǎn,"dictionary (of Chinese compound words); also written 辭典|辞典[ci2 dian3]; CL:部[bu4],本[ben3]",4
词汇,cí huì,vocabulary; list of words (e.g. for language teaching purposes),6
慈祥,cí xiáng,kindly; benevolent (often of older person),6
雌雄,cí xióng,male and female,6
词语,cí yǔ,word (general term including monosyllables through to short phrases); term (e.g. technical term); expression,3
辞职,cí zhí,to resign,5
此外,cǐ wài,besides; in addition; moreover; furthermore,5
刺,cì,thorn; splinter; to stab; to pierce; to prick,6
次,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",2
伺候,cì hòu,to serve; to act as a valet,6
刺激,cì jī,to provoke; to irritate; to upset; to stimulate; to excite; irritant,5
次品,cì pǐn,substandard products; defective; seconds,6
次序,cì xù,sequence; order,6
次要,cì yào,secondary,5
匆忙,cōng máng,hasty; hurried,5
聪明,cōng ming,acute (of sight and hearing); clever; intelligent; bright; smart,3
从,cóng,from; via; passing through; through,5
丛,cóng,cluster; collection; collection of books; thicket,6
从此,cóng cǐ,from now on; since then; henceforth,5
从而,cóng ér,thus; thereby,5
从来,cóng lái,always; at all times; never (if used in negative sentence),4
从前,cóng qián,previously; formerly; once upon a time,5
从容不迫,cóng róng bù pò,calm; unruffled,6
从事,cóng shì,to go for; to engage in; to undertake; to deal with; to handle; to do,5
凑合,còu he,to bring together; to make do in a bad situation; to just get by; to improvise; passable; not too bad,6
粗鲁,cū lǔ,crude; coarse; rough,6
粗心,cū xīn,careless; thoughtless,4
醋,cù,vinegar,5
促进,cù jìn,to promote (an idea or cause); to advance; boost,5
促使,cù shǐ,to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development),5
窜,cuàn,to flee; to scuttle; to exile or banish; to amend or edit,6
催,cuī,to urge; to press; to prompt; to rush sb; to hasten sth; to expedite,5
摧残,cuī cán,to ravage; to ruin,6
脆弱,cuì ruò,weak; frail,6
存,cún,exist; deposit; store; keep; survive,5
存在,cún zài,to exist; to be,5
搓,cuō,to rub or roll between the hands or fingers; to twist,6
磋商,cuō shāng,to consult; to discuss seriously; to negotiate; to confer; negotiations; consultations,6
错,cuò,mistake; error; blunder; fault; cross; uneven; wrong; CL:個|个[ge4],2
措施,cuò shī,measure; step (to be taken); CL:個|个[ge4],5
错误,cuò wù,error; mistake; mistaken; CL:個|个[ge4],5
挫折,cuò zhé,setback; reverse; check; defeat; frustration; disappointment; to frustrate; to discourage; to set sb back; to blunt; to subdue,6
搭,dā,"to put up; to build (scaffolding); to hang (clothes on a pole); to connect; to join; to arrange in pairs; to match; to add; to throw in (resources); to take (boat, train)",6
搭档,dā dàng,to cooperate; partner,6
搭配,dā pèi,to pair up; to match; to arrange in pairs; to add sth into a group,6
答应,dā ying,to promise; to agree; to reply; to respond,5
答案,dá àn,answer; solution; CL:個|个[ge4],4
答辩,dá biàn,to reply (to an accusation),6
达成,dá chéng,to reach (an agreement); to accomplish,6
达到,dá dào,to reach; to achieve; to attain,5
答复,dá fù,to answer; to reply; Reply to: (in email header),6
打扮,dǎ ban,to decorate; to dress; to make up; to adorn; manner of dressing; style of dress,4
打包,dǎ bāo,to wrap; to pack; to ask for a doggy bag (at a restaurant),6
打电话,dǎ diàn huà,to make a telephone call,1
打工,dǎ gōng,to work (do manual labor for a living); a part time job; to moonlight,5
打官司,dǎ guān si,to file a lawsuit; to sue; to dispute,6
打击,dǎ jī,to hit; to strike; to attack; to crack down on sth; a setback; a blow; percussion (music),6
